company,title,season,season_inferred,category,location,salary,skills,posted_at,first_seen_at,url
GE Aerospace,Data Science Intern,Summer 2027,True,Data & ML/AI,Bengaluru,,Python; LLMs,2026-09-03T00:00:00Z,2026-09-03T07:46:40Z,https://geaerospace.wd5.myworkdayjobs.com/ge_externalsite/job/Bengaluru/Data-Science-Intern_R5039463
TWG Global,AI Data Science Intern (UK),Summer 2027,True,Data & ML/AI,"London, England, United Kingdom (Remote)",,Python; PyTorch; TensorFlow; scikit-learn; Pandas; LLMs; AWS; GCP,2026-09-01T00:00:00.000Z,2026-09-01T22:22:05Z,https://apply.workable.com/twgai/j/1206BF981C/
Pearson,"Associate, Software Engineer - Intern",Summer 2027,True,Software,"Bangalore, Karnataka, India",,TypeScript; JavaScript; React; Azure; Git,2026-09-01,2026-09-01T19:14:25Z,https://hccz.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/25450
Arista Networks,Intern Software Engineers - C/C++,Summer 2027,True,Software,"Poland - Remote, PL (Remote)",,Python; C++; Linux; Git,2026-08-27T14:09:48.754Z,2026-08-27T23:34:09Z,https://jobs.smartrecruiters.com/AristaNetworks/744000145998379
Realm,Software Engineer - Intern,Summer 2027,True,Software,Remote,,Python; C++; TypeScript; TensorFlow; LLMs; Computer Vision; React; Node.js,2026-08-26T16:12:00.320+00:00,2026-08-26T16:18:03Z,https://jobs.ashbyhq.com/realmalliance/a8a2f78e-1c28-4b52-a77a-c2b2ad9b7a8a
Epicor,Interns - Content Developer /Technical Writing/ Instructional Designer,Summer 2027,True,Software,"India, Bangalore",,,2026-07-30T00:00:00Z,2026-07-30T15:53:40Z,https://epicorsoftware.wd5.myworkdayjobs.com/epicorjobs/job/India-Bangalore/Interns---Content-Developer--Technical-Writing--Instructional-Designer_JR105255
GE Healthcare,Research Intern - AI,Summer 2027,True,Data & ML/AI,IND19-01-Bengaluru-EPIP 122 (Phase II),,Python; C++; PyTorch; TensorFlow; LLMs; Computer Vision,2026-07-27T00:00:00Z,2026-07-27T06:27:59Z,https://gehc.wd5.myworkdayjobs.com/GEHC_ExternalSite/job/IND19-01-Bengaluru-EPIP-122-Phase-II/Research-Intern---AI_R4043882-1
Valeo,Intern - AI,Summer 2027,True,Data & ML/AI,Chennai,,,2025-08-06T00:00:00Z,2026-07-26T22:23:07Z,https://valeo.wd3.myworkdayjobs.com/valeo_jobs/job/Chennai/Intern---AI_REQ2025061319
PagarBook,Full Stack Development Intern,Summer 2027,True,Software,Bangalore,,,,2026-08-24T05:37:52Z,https://www.instahyre.com/job-439220-full-stack-development-intern-internship-at-pagarbook-bangalore/
Oneture Technologies,AI / ML Intern,Summer 2027,True,Data & ML/AI,Mumbai,,,,2026-08-21T09:35:32Z,https://www.instahyre.com/job-390123-ai-ml-intern-at-oneture-technologies-mumbai/
